Nº;ID;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
110;4bjn58Ub;01/12/2023;09:00;THAILAND;THAI LEAGUE 1 - ROUND 12;Uthai Thani;Sukhothai;23;30;21;30;0,7667;0,7;1,4667;1,3333;1,1353;1,2667;1,2092;2,6
111;YVuGZrde;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;Lokomotiv Moscow U19;FSM U19;24;30;12;18;0,8;0,6667;1,4667;1,7;1,4177;1,1667;1,118;2,8667
112;0dUSkQor;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 10 - ROUND 15;Minerul Ocna Dej;Baia Mare;21;30;23;30;0,7;0,7667;1,4667;1,1333;1,1175;1,1667;0,9339;2,3
113;63MQ1fHi;01/12/2023;13:30;QATAR;QSL - ROUND 10;Al-Sadd;Shamal;20;30;24;30;0,6667;0,8;1,4667;1,2667;1,2365;1,4;1,0198;2,6667
114;OvHV0EWc;01/12/2023;11:30;QATAR;QSL - ROUND 10;Al Markhiya;Al Arabi;24;30;20;30;0,8;0,6667;1,4667;1,8667;1,4079;1,3;1,4177;3,1667
115;j9cUmdBl;01/12/2023;15:00;PORTUGAL;LIGA PORTUGAL 2 - ROUND 12;Academico Viseu;Os Belenenses;24;30;20;30;0,8;0,6667;1,4667;1,4333;1,0546;1,0;1,0646;2,4333
116;4QGsHr1o;01/12/2023;15:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE A - ROUND 5;Norway W;Portugal W;24;30;20;30;0,8;0,6667;1,4667;1,6333;1,3536;1,3667;1,1968;3,0
117;M5VxsH2H;01/12/2023;13:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE B - ROUND 5;Albania W;Northern Ireland W;24;30;20;30;0,8;0,6667;1,4667;1,6667;1,2472;1,5667;1,6059;3,2334
118;0zg6TcYH;01/12/2023;16:30;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE B - ROUND 5;Ireland W;Hungary W;21;30;23;30;0,7;0,7667;1,4667;1,2667;1,2365;1,8333;1,7904;3,1
119;ncfNFf9l;01/12/2023;09:45;UNITED ARAB EMIRATES;UAE LEAGUE - ROUND 9;Emirates Club;Ittihad Kalba;24;30;20;30;0,8;0,6667;1,4667;1,7667;1,3828;1,3667;1,3034;3,1334
120;hnsjCmtg;01/12/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 17;Den Bosch;Jong Ajax;18;30;26;30;0,6;0,8667;1,4667;1,0;1,0646;1,8667;1,384;2,8667
121;I9CynEca;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 9 - ROUND 15;Gloria 2018 Bistrita;Metalurgistul Cugir;23;30;21;30;0,7667;0,7;1,4667;1,4;1,1136;1,0667;1,0625;2,4667
122;rDZGFSoh;01/12/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 11;Jong Utrecht;Jong PSV;22;30;22;30;0,7333;0,7333;1,4666;1,3667;1,1686;1,6;1,4514;2,9667
123;GWlLrpZ6;01/12/2023;14:00;TURKEY;1. LIG - ROUND 14;Kocaelispor;Umraniyespor;22;30;22;30;0,7333;0,7333;1,4666;1,0667;0,8138;1,2333;1,0858;2,3
124;Aa1A3C2r;01/12/2023;07:00;UKRAINE;YOUTH LEAGUE - ROUND 16;Kolos Kovalivka U19;Obolon Kiev U19;22;30;11;15;0,7333;0,7333;1,4666;1,2;0,9798;1,5333;1,2037;2,7333
125;4fzur7lF;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;Ural U19;Rubin Kazan U19;22;30;22;30;0,7333;0,7333;1,4666;1,5;1,2845;1,2667;1,1528;2,7667
126;Ym99AElE;01/12/2023;16:30;ITALY;SERIE B - ROUND 15;Palermo;Catanzaro;22;30;22;30;0,7333;0,7333;1,4666;1,2667;1,0306;1,5;1,118;2,7667
127;6NdP0D2s;01/12/2023;20:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Chile W;Peru W;22;30;22;30;0,7333;0,7333;1,4666;1,2667;1,1235;1,2;0,9798;2,4667
128;EuW252h5;01/12/2023;16:00;BELGIUM;SECOND AMATEUR DIVISION GROUP VFV A - ROUND 15;Oudenaarde;Olsa Brakel;22;30;22;30;0,7333;0,7333;1,4666;1,5;1,1475;1,2333;1,0858;2,7333
129;f7JGvtP1;01/12/2023;10:30;ITALY;PRIMAVERA 1 - ROUND 12;Genoa U19;Sampdoria U19;17;27;25;30;0,6296;0,8333;1,4629;1,2593;1,2647;1,7;1,1874;2,9593
130;MPwsxRS1;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 4 - ROUND 15;Popesti Leordeni;Moreni;23;30;20;30;0,7667;0,6667;1,4334;1,2333;0,9894;1,3667;1,3034;2,6
131;Ag2Jqswg;01/12/2023;19:30;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 22;Cerro Porteno;Guarani;23;30;20;30;0,7667;0,6667;1,4334;1,2;1,0456;1,1333;1,1757;2,3333
